Region,death_avg,damage_avg
Australia and New Zealand,69.68345323741008,444028.9906976744
Caribbean,827.6739130434783,567342.5564853556
Central America,284.42832469775476,319820.5346153846
Central Asia,46.80246913580247,58752
Eastern Africa,1038.9682337992376,77188.80952380953
Eastern Asia,8894.17279666898,1395292.92652124
Eastern Europe,217.76417910447762,223773.36363636365
Melanesia,85.54929577464789,37483.16923076923
Micronesia,8.4,87965
Middle Africa,151.32903225806453,9516.066666666668
Northern Africa,811.1190476190476,279371.75
Northern America,115.53781512605042,1796442.820874471
Northern Europe,74.93162393162393,485492.23232323234
Polynesia,21.205882352941178,39270.54285714286
Russian Federation,113444,1218394.1176470588
South America,301.2327683615819,323389.4651162791
South-Eastern Asia,335.73284960422166,187056.84256926953
Southern Africa,36.46280991735537,134658.35185185185
Southern Asia,6927.373414230557,521856.8543046358
Southern Europe,408.7675544794189,720023.0379746836
Western Africa,678.5244360902255,41469.836363636365
Western Asia,295.10027100271003,390116.58771929826
Western Europe,172.9023569023569,596181.2636363637
